,EducationSector,Target IndividualProject ,Age,Gender,City,Influenced,Perseverance,DesireToTakeInitiative,Competitiveness,SelfReliance,StrongNeedToAchieve,SelfConfidence,GoodPhysicalHealth,MentalDisorder,KeyTraits
173,"Art, Music or Design",Yes,19.0,Female,Yes,No,2.0,2.0,2.0,2.0,1.0,2.0,2.0,No,Passion
174,Others,Yes,20.0,Male,Yes,Yes,2.0,3.0,3.0,3.0,3.0,3.0,3.0,No,Work Ethic
175,Engineering Sciences,Yes,20.0,Male,No,Yes,2.0,1.0,1.0,2.0,3.0,1.0,3.0,No,Passion
176,Engineering Sciences,Yes,20.0,Female,Yes,Yes,4.0,5.0,5.0,4.0,5.0,5.0,5.0,No,Work Ethic
177,"Art, Music or Design",Yes,19.0,Female,Yes,Yes,4.0,5.0,5.0,5.0,5.0,5.0,5.0,No,Passion
178,Humanities and Social Sciences,No,19.0,Female,No,No,2.0,2.0,1.0,2.0,2.0,2.0,3.0,No,Positivity
179,Engineering Sciences,No,18.0,Male,Yes,Yes,3.0,3.0,2.0,2.0,3.0,3.0,2.0,No,Work Ethic
180,Others,Yes,20.0,Female,Yes,No,4.0,5.0,4.0,4.0,3.0,5.0,5.0,Yes,Passion
181,Engineering Sciences,Yes,22.0,Male,No,Yes,4.0,3.0,4.0,4.0,5.0,3.0,4.0,No,Passion
182,Others,Yes,19.0,Male,Yes,Yes,4.0,3.0,3.0,4.0,4.0,3.0,3.0,No,Work Ethic
183,Engineering Sciences,Yes,19.0,Male,Yes,Yes,3.0,4.0,5.0,5.0,4.0,4.0,2.0,No,Work Ethic
184,"Economic Sciences, Business Studies, Commerce and Law",No,20.0,Male,Yes,Yes,4.0,5.0,5.0,4.0,5.0,4.0,5.0,Yes,Passion
185,"Art, Music or Design",Yes,19.0,Male,Yes,Yes,3.0,4.0,3.0,4.0,5.0,4.0,4.0,No,Vision
186,Engineering Sciences,No,17.0,Male,Yes,Yes,5.0,5.0,4.0,4.0,5.0,5.0,4.0,No,Positivity
187,Others,No,21.0,Female,No,Yes,3.0,1.0,2.0,3.0,2.0,2.0,1.0,Yes,Passion
188,"Economic Sciences, Business Studies, Commerce and Law",Yes,20.0,Female,Yes,No,4.0,4.0,4.0,4.0,4.0,4.0,2.0,Yes,Work Ethic
189,"Economic Sciences, Business Studies, Commerce and Law",No,18.0,Female,Yes,No,4.0,5.0,3.0,2.0,3.0,1.0,1.0,Yes,Passion
190,Engineering Sciences,No,17.0,Male,No,Yes,3.0,4.0,4.0,2.0,3.0,2.0,3.0,No,Passion
191,Others,Yes,21.0,Female,Yes,No,4.0,5.0,4.0,5.0,4.0,4.0,4.0,Yes,Positivity
192,Others,Yes,19.0,Female,No,Yes,4.0,4.0,4.0,5.0,4.0,4.0,4.0,No,Passion
193,"Art, Music or Design",Yes,20.0,Male,Yes,Yes,2.0,3.0,2.0,4.0,2.0,3.0,2.0,No,Positivity
194,Engineering Sciences,No,20.0,Male,Yes,Yes,4.0,4.0,4.0,4.0,4.0,4.0,4.0,No,Work Ethic
196,Engineering Sciences,Yes,19.0,Female,Yes,No,3.0,4.0,5.0,4.0,4.0,3.0,3.0,Yes,Work Ethic
205,Engineering Sciences,Yes,20.0,Male,Yes,Yes,4.0,4.0,5.0,4.0,4.0,4.0,5.0,Yes,Positivity
206,Engineering Sciences,Yes,21.0,Male,Yes,Yes,4.0,5.0,4.0,4.0,4.0,4.0,3.0,Yes,Positivity
209,"Economic Sciences, Business Studies, Commerce and Law",Yes,19.0,Male,Yes,No,4.0,2.0,3.0,4.0,2.0,2.0,3.0,No,Positivity
213,Engineering Sciences,No,19.0,Male,Yes,No,4.0,2.0,3.0,4.0,4.0,2.0,4.0,Yes,Work Ethic
214,Engineering Sciences,Yes,19.0,Male,Yes,Yes,4.0,5.0,4.0,3.0,4.0,4.0,5.0,Yes,Positivity
215,Engineering Sciences,Yes,19.0,Male,Yes,No,2.0,2.0,2.0,2.0,2.0,2.0,2.0,No,Work Ethic
216,Engineering Sciences,Yes,22.0,Female,Yes,Yes,3.0,4.0,4.0,3.0,4.0,4.0,3.0,No,Vision
217,Engineering Sciences,No,19.0,Male,Yes,No,1.0,2.0,2.0,3.0,3.0,2.0,2.0,No,Passion
218,Engineering Sciences,Yes,18.0,Male,Yes,Yes,3.0,5.0,3.0,5.0,5.0,5.0,2.0,No,Passion
